VariableName,VariableType
CITATIONS,char
TECTONICSETTING,char
LOCATION,char
LOCATIONCOMMENT,char
LATITUDEMIN,double
LATITUDEMAX,double
LONGITUDEMIN,double
LONGITUDEMAX,double
LANDORSEA,char
ELEVATIONMIN,double
ELEVATIONMAX,double
SAMPLENAME,char
ROCKNAME,char
MIN_AGE_YRS__,char
MAX_AGE_YRS__,char
GEOL_,char
AGE,char
ERUPTIONDAY,char
ERUPTIONMONTH,char
ERUPTIONYEAR,char
ROCKTEXTURE,char
ROCKTYPE,char
DRILLDEPTHMIN,char
DRILLDEPTHAX,char
ALTERATION,char
MINERAL,char
MATERIAL,char
SIO2_WT__,double
TIO2_WT__,double
B2O3_WT__,char
AL2O3_WT__,double
CR2O3_WT__,char
FE2O3_WT__,double
FEO_WT__,double
FEOT_WT__,double
CAO_WT__,double
MGO_WT__,double
MNO_WT__,double
NIO_WT__,char
K2O_WT__,double
NA2O_WT__,double
P2O5_WT__,double
H2O_WT__,double
H2OP_WT__,double
H2OM_WT__,double
H2OT_WT__,char
CO2_WT__,double
CO1_WT__,char
F_WT__,char
CL_WT__,char
CL2_WT__,char
OH_WT__,char
CH4_WT__,char
SO2_WT__,char
SO3_WT__,char
SO4_WT__,char
S_WT__,char
LOI_WT__,double
VOLATILES_WT__,char
O_WT__,char
OTHERS_WT__,char
HE_CCM_G_,char
HE_CCMSTP_G_,char
HE3_CCMSTP_G_,char
HE3_AT_G_,char
HE4_CCM_G_,char
HE4_CCMSTP_G_,char
HE4_AT_G_,char
HE4_MOLE_G_,char
HE4_NCC_G_,char
HE_NCC_G_,char
LI_PPM_,double
BE_PPM_,double
B_PPM_,double
C_PPM_,char
CO2_PPM_,char
F_PPM_,char
NA_PPM_,char
MG_PPM_,char
AL_PPM_,char
P_PPM_,double
S_PPM_,char
CL_PPM_,char
K_PPM_,double
CA_PPM_,char
SC_PPM_,double
TI_PPM_,double
V_PPM_,double
CR_PPM_,double
MN_PPM_,double
FE_PPM_,char
CO_PPM_,double
NI_PPM_,double
CU_PPM_,double
ZN_PPM_,double
GA_PPM_,double
GE_PPM_,double
AS_PPM_,double
SE_PPM_,char
BR_PPM_,char
RB_PPM_,double
SR_PPM_,double
Y_PPM_,double
ZR_PPM_,double
NB_PPM_,double
MO_PPM_,double
RU_PPM_,char
RH_PPM_,char
PD_PPM_,char
AG_PPM_,double
CD_PPM_,double
IN_PPM_,double
SN_PPM_,double
SB_PPM_,double
TE_PPM_,char
I_PPM_,char
CS_PPM_,double
BA_PPM_,double
LA_PPM_,double
CE_PPM_,double
PR_PPM_,double
ND_PPM_,double
SM_PPM_,double
EU_PPM_,double
GD_PPM_,double
TB_PPM_,double
DY_PPM_,double
HO_PPM_,double
ER_PPM_,double
TM_PPM_,double
YB_PPM_,double
LU_PPM_,double
HF_PPM_,double
TA_PPM_,double
W_PPM_,double
RE_PPM_,char
OS_PPM_,char
IR_PPM_,char
PT_PPM_,char
AU_PPM_,char
HG_PPM_,char
TL_PPM_,double
PB_PPM_,double
BI_PPM_,double
TH_PPM_,double
U_PPM_,double
ND143_ND144,double
ND143_ND144_INI,char
EPSILON_ND,char
SR87_SR86,double
SR87_SR86_INI,char
PB206_PB204,double
PB206_PB204_INI,char
PB207_PB204,double
PB207_PB204_INI,char
PB208_PB204,double
PB208_PB204_INI,char
OS184_OS188,char
OS186_OS188,char
OS187_OS186,char
OS187_OS188,char
RE187_OS186,char
RE187_OS188,char
HF176_HF177,double
HE3_HE4,char
HE3_HE4_R_R_A__,char
HE4_HE3,char
HE4_HE3_R_R_A__,char
K40_AR40,char
AR40_K40,char
UNIQUE_ID,double
